form,scan,freq,period,peak_ratio,is_breathing,sigma_ratio,k1,k2
standard,k2,0.1,10.0,0.4593352894791076,True,0.9416220798416349,0.5,0.1
standard,k2,0.1,10.0,0.5154082200937021,True,0.8456632180610937,0.5,0.2
standard,k2,0.15000000000000002,6.666666666666666,0.650625202674362,True,0.8067316075660809,0.5,0.3
standard,k2,0.2,5.0,0.7422874929377216,True,0.8475768199835849,0.5,0.4
standard,k2,0.2,5.0,0.57412400045245,True,0.8857772162331774,0.5,0.5
standard,k2,0.25,4.0,0.5161959110711504,True,0.4947518557255532,0.5,0.6
standard,k2,0.2,5.0,0.37344574035850975,True,0.7676058913258283,0.5,0.7
standard,k2,0.30000000000000004,3.333333333333333,0.5265910512336902,True,0.8946550924914862,0.5,0.8
standard,k1,0.2,5.0,0.4086462504497356,True,0.6760163086512734,0.1,0.5
standard,k1,0.2,5.0,0.44304715312271853,True,0.88410798138256,0.2,0.5
standard,k1,0.2,5.0,0.48755514762670354,True,0.8711796850512326,0.3,0.5
standard,k1,0.2,5.0,0.43418016441945373,True,0.7179726283166391,0.4,0.5
standard,k1,0.2,5.0,0.57412400045245,True,0.8857772162331774,0.5,0.5
standard,k1,0.2,5.0,0.6548770434763523,True,0.8516731730937958,0.6,0.5
standard,k1,0.2,5.0,0.7449897266345223,True,0.8300009395028892,0.7,0.5
standard,k1,0.2,5.0,0.7188760619453525,True,0.8828404081324962,0.8,0.5
